Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
12230;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12208;Albany;NY;42.654978;-73.80053;-5;1;42.654978,-73.80053
12249;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12261;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12232;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12207;Albany;NY;42.653979;-73.74833;-5;1;42.653979,-73.74833
12229;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12246;Albany;NY;42.647079;-73.750314;-5;1;42.647079,-73.750314
12252;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12239;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12222;Albany;NY;42.692909;-73.838035;-5;1;42.692909,-73.838035
12243;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12211;Albany;NY;42.705345;-73.76924;-5;1;42.705345,-73.76924
12226;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12228;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12247;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12214;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12255;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12256;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12227;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12257;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12203;Albany;NY;42.678112;-73.82983;-5;1;42.678112,-73.82983
12220;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12210;Albany;NY;42.656679;-73.75894;-5;1;42.656679,-73.75894
12248;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12225;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12235;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12242;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12234;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12204;Albany;NY;42.683727;-73.73329;-5;1;42.683727,-73.73329
12201;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12223;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12288;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12202;Albany;NY;42.640129;-73.76061;-5;1;42.640129,-73.76061
12236;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12262;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12240;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12224;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12245;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12233;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12244;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12238;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12237;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12206;Albany;NY;42.669645;-73.77719;-5;1;42.669645,-73.77719
12250;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12209;Albany;NY;42.640813;-73.7856;-5;1;42.640813,-73.7856
12241;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12205;Albany;NY;42.713328;-73.8179;-5;1;42.713328,-73.8179
12231;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12212;Albany;NY;42.716774;-73.810373;-5;1;42.716774,-73.810373
12260;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
